Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
ALE1 at 42C, ALE4 at 42C, ALE5 at 42C, ALE9 at 42C	25.15	0.17	0.19
ALE1 at 42C, ALE4 at 42C, ALE5 at 42C, ALE10 at 42C	24.99	0.21	0.20
ALE1 at 42C, ALE4 at 42C, ALE6 at 42C, ALE7 at 42C	23.02	0.51	0.28
ALE1 at 42C, ALE4 at 42C, ALE6 at 42C, ALE8 at 42C	25.91	0.36	0.24
ALE1 at 42C, ALE4 at 42C, ALE6 at 42C, ALE9 at 42C	17.22	0.31	0.23
ALE1 at 42C, ALE4 at 42C, ALE6 at 42C, ALE10 at 42C	26.24	0.38	0.25
ALE1 at 42C, ALE4 at 42C, ALE7 at 42C, ALE8 at 42C	24.51	0.38	0.25
ALE1 at 42C, ALE4 at 42C, ALE7 at 42C, ALE9 at 42C	20.52	0.31	0.23
ALE1 at 42C, ALE4 at 42C, ALE7 at 42C, ALE10 at 42C	28.88	0.38	0.24
ALE1 at 42C, ALE4 at 42C, ALE8 at 42C, ALE9 at 42C	18.86	0.23	0.21
ALE1 at 42C, ALE4 at 42C, ALE8 at 42C, ALE10 at 42C	29.96	0.27	0.23
ALE1 at 42C, ALE4 at 42C, ALE9 at 42C, ALE10 at 42C	23.80	0.23	0.21
ALE1 at 42C, ALE5 at 42C, ALE6 at 42C, ALE7 at 42C	16.47	0.38	0.24
ALE1 at 42C, ALE5 at 42C, ALE6 at 42C, ALE8 at 42C	16.20	0.29	0.22
ALE1 at 42C, ALE5 at 42C, ALE6 at 42C, ALE9 at 42C	17.94	0.22	0.21
ALE1 at 42C, ALE5 at 42C, ALE6 at 42C, ALE10 at 42C	17.72	0.30	0.22
ALE1 at 42C, ALE5 at 42C, ALE7 at 42C, ALE8 at 42C	16.96	0.28	0.21
ALE1 at 42C, ALE5 at 42C, ALE7 at 42C, ALE9 at 42C	23.79	0.23	0.20
ALE1 at 42C, ALE5 at 42C, ALE7 at 42C, ALE10 at 42C	23.05	0.30	0.22
ALE1 at 42C, ALE5 at 42C, ALE8 at 42C, ALE9 at 42C	18.74	0.17	0.19
ALE1 at 42C, ALE5 at 42C, ALE8 at 42C, ALE10 at 42C	18.82	0.22	0.21
ALE1 at 42C, ALE5 at 42C, ALE9 at 42C, ALE10 at 42C	25.27	0.18	0.19
ALE1 at 42C, ALE6 at 42C, ALE7 at 42C, ALE8 at 42C	29.70	0.55	0.28
ALE1 at 42C, ALE6 at 42C, ALE7 at 42C, ALE9 at 42C	17.52	0.44	0.25
ALE1 at 42C, ALE6 at 42C, ALE7 at 42C, ALE10 at 42C	32.55	0.56	0.30
ALE1 at 42C, ALE6 at 42C, ALE8 at 42C, ALE9 at 42C	15.68	0.31	0.23
ALE1 at 42C, ALE6 at 42C, ALE8 at 42C, ALE10 at 42C	33.31	0.39	0.26
ALE1 at 42C, ALE6 at 42C, ALE9 at 42C, ALE10 at 42C	17.85	0.32	0.23
ALE1 at 42C, ALE7 at 42C, ALE8 at 42C, ALE9 at 42C	16.09	0.33	0.24
ALE1 at 42C, ALE7 at 42C, ALE8 at 42C, ALE10 at 42C	31.49	0.42	0.25
ALE1 at 42C, ALE7 at 42C, ALE9 at 42C, ALE10 at 42C	21.90	0.33	0.23
ALE1 at 42C, ALE8 at 42C, ALE9 at 42C, ALE10 at 42C	18.18	0.24	0.21
ALE2 at 42C, ALE3 at 42C, ALE4 at 42C, ALE5 at 42C	35.43	0.10	0.16
ALE2 at 42C, ALE3 at 42C, ALE4 at 42C, ALE6 at 42C	19.80	0.17	0.18
ALE2 at 42C, ALE3 at 42C, ALE4 at 42C, ALE7 at 42C	24.95	0.18	0.19
ALE2 at 42C, ALE3 at 42C, ALE4 at 42C, ALE8 at 42C	22.83	0.14	0.18
ALE2 at 42C, ALE3 at 42C, ALE4 at 42C, ALE9 at 42C	34.58	0.12	0.17
ALE2 at 42C, ALE3 at 42C, ALE4 at 42C, ALE10 at 42C	30.66	0.14	0.18
ALE2 at 42C, ALE3 at 42C, ALE5 at 42C, ALE6 at 42C	22.13	0.15	0.18
ALE2 at 42C, ALE3 at 42C, ALE5 at 42C, ALE7 at 42C	28.87	0.15	0.18
ALE2 at 42C, ALE3 at 42C, ALE5 at 42C, ALE8 at 42C	23.78	0.11	0.17
ALE2 at 42C, ALE3 at 42C, ALE5 at 42C, ALE9 at 42C	42.12	0.09	0.16
ALE2 at 42C, ALE3 at 42C, ALE5 at 42C, ALE10 at 42C	32.26	0.11	0.16
ALE2 at 42C, ALE3 at 42C, ALE6 at 42C, ALE7 at 42C	16.83	0.26	0.21
ALE2 at 42C, ALE3 at 42C, ALE6 at 42C, ALE8 at 42C	17.77	0.17	0.19
ALE2 at 42C, ALE3 at 42C, ALE6 at 42C, ALE9 at 42C	21.96	0.15	0.18
ALE2 at 42C, ALE3 at 42C, ALE6 at 42C, ALE10 at 42C	19.08	0.20	0.20
ALE2 at 42C, ALE3 at 42C, ALE7 at 42C, ALE8 at 42C	17.82	0.18	0.19
ALE2 at 42C, ALE3 at 42C, ALE7 at 42C, ALE9 at 42C	27.51	0.15	0.18
ALE2 at 42C, ALE3 at 42C, ALE7 at 42C, ALE10 at 42C	24.11	0.20	0.20
ALE2 at 42C, ALE3 at 42C, ALE8 at 42C, ALE9 at 42C	23.30	0.12	0.17
ALE2 at 42C, ALE3 at 42C, ALE8 at 42C, ALE10 at 42C	21.68	0.15	0.19
ALE2 at 42C, ALE3 at 42C, ALE9 at 42C, ALE10 at 42C	32.01	0.12	0.17
ALE2 at 42C, ALE4 at 42C, ALE5 at 42C, ALE6 at 42C	20.65	0.18	0.19
ALE2 at 42C, ALE4 at 42C, ALE5 at 42C, ALE7 at 42C	26.79	0.17	0.18
ALE2 at 42C, ALE4 at 42C, ALE5 at 42C, ALE8 at 42C	24.28	0.13	0.17
ALE2 at 42C, ALE4 at 42C, ALE5 at 42C, ALE9 at 42C	35.16	0.12	0.18
