Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)	D Value
KCl-KCl-5,Na2CO3-Na2CO3-5	3.1	0.5	1.2	2.21
KCl-KCl-1,Lac-Lac-1	0.0	0.3	0.9	-0.37
KCl-KCl-1,Lac-Lac-2	0.0	0.4	1.0	-0.36
KCl-KCl-1,Lac-Lac-3	2.5	0.6	1.2	1.67
KCl-KCl-1,Lac-Lac-4	0.0	0.5	1.1	-0.45
KCl-KCl-1,Lac-Lac-5	20.8	0.9	1.4	14.43
KCl-KCl-2,Lac-Lac-1	0.0	0.3	1.4	-0.19
KCl-KCl-2,Lac-Lac-2	0.0	0.3	1.5	-0.23
KCl-KCl-2,Lac-Lac-3	0.0	0.4	1.5	-0.27
KCl-KCl-2,Lac-Lac-4	0.0	0.3	1.4	-0.24
KCl-KCl-2,Lac-Lac-5	0.0	0.5	1.4	-0.37
KCl-KCl-3,Lac-Lac-1	0.0	0.3	1.4	-0.24
KCl-KCl-3,Lac-Lac-2	0.0	0.4	1.4	-0.25
KCl-KCl-3,Lac-Lac-3	5.0	0.4	1.3	3.49
KCl-KCl-3,Lac-Lac-4	0.0	0.4	1.4	-0.28
KCl-KCl-3,Lac-Lac-5	7.0	0.7	1.6	4.01
KCl-KCl-4,Lac-Lac-1	6.5	0.3	1.5	4.07
KCl-KCl-4,Lac-Lac-2	0.0	0.3	1.3	-0.21
KCl-KCl-4,Lac-Lac-3	5.4	0.5	1.5	3.20
KCl-KCl-4,Lac-Lac-4	0.0	0.4	1.5	-0.27
KCl-KCl-4,Lac-Lac-5	3.7	0.6	1.6	1.95
KCl-KCl-5,Lac-Lac-1	0.0	0.2	1.4	-0.17
KCl-KCl-5,Lac-Lac-2	0.0	0.2	1.3	-0.16
KCl-KCl-5,Lac-Lac-3	6.7	0.2	1.2	5.33
KCl-KCl-5,Lac-Lac-4	0.0	0.3	1.5	-0.21
KCl-KCl-5,Lac-Lac-5	0.0	0.5	1.4	-0.32
KCl-KCl-1,Mal-Mal-1	0.0	0.3	0.9	-0.35
KCl-KCl-1,Mal-Mal-2	0.0	0.1	0.6	-0.21
KCl-KCl-1,Mal-Mal-3	2.4	0.6	1.2	1.48
KCl-KCl-1,Mal-Mal-4	0.0	0.2	0.7	-0.23
KCl-KCl-1,Mal-Mal-5	0.0	0.3	0.9	-0.37
KCl-KCl-2,Mal-Mal-1	0.0	0.3	1.6	-0.21
KCl-KCl-2,Mal-Mal-2	0.0	0.1	0.9	-0.10
KCl-KCl-2,Mal-Mal-3	5.4	0.4	1.5	3.35
KCl-KCl-2,Mal-Mal-4	0.0	0.1	0.9	-0.11
KCl-KCl-2,Mal-Mal-5	0.0	0.3	1.4	-0.21
KCl-KCl-3,Mal-Mal-1	0.0	0.2	1.1	-0.18
KCl-KCl-3,Mal-Mal-2	0.0	0.1	1.0	-0.14
KCl-KCl-3,Mal-Mal-3	0.0	0.4	1.4	-0.28
KCl-KCl-3,Mal-Mal-4	0.0	0.1	0.7	-0.10
KCl-KCl-3,Mal-Mal-5	0.0	0.3	1.4	-0.22
KCl-KCl-4,Mal-Mal-1	13.3	0.3	1.3	9.88
KCl-KCl-4,Mal-Mal-2	0.0	0.1	1.1	-0.14
KCl-KCl-4,Mal-Mal-3	10.0	0.5	1.5	6.31
KCl-KCl-4,Mal-Mal-4	0.0	0.1	1.0	-0.12
KCl-KCl-4,Mal-Mal-5	12.9	0.2	1.2	10.54
KCl-KCl-5,Mal-Mal-1	0.0	0.1	1.1	-0.12
KCl-KCl-5,Mal-Mal-2	0.0	0.1	1.3	-0.11
KCl-KCl-5,Mal-Mal-3	6.1	0.4	1.5	3.82
KCl-KCl-5,Mal-Mal-4	0.0	0.2	1.3	-0.12
