Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
Ara+2, Ara+5, Ara-2, Ara-5	11.46	0.10	0.11
Ara+2, Ara+5, Ara-2, Ara-6	9.16	0.07	0.09
Ara+2, Ara+5, Ara-3, Ara-4	11.25	0.08	0.10
Ara+2, Ara+5, Ara-3, Ara-5	11.92	0.09	0.11
Ara+2, Ara+5, Ara-3, Ara-6	8.55	0.06	0.09
Ara+2, Ara+5, Ara-4, Ara-5	14.71	0.06	0.09
Ara+2, Ara+5, Ara-4, Ara-6	11.43	0.04	0.08
Ara+2, Ara+5, Ara-5, Ara-6	10.03	0.05	0.08
Ara+2, Ara-1, Ara-2, Ara-3	11.28	0.12	0.12
Ara+2, Ara-1, Ara-2, Ara-4	17.69	0.08	0.10
Ara+2, Ara-1, Ara-2, Ara-5	12.97	0.09	0.11
Ara+2, Ara-1, Ara-2, Ara-6	11.31	0.06	0.09
Ara+2, Ara-1, Ara-3, Ara-4	12.91	0.07	0.10
Ara+2, Ara-1, Ara-3, Ara-5	10.24	0.08	0.10
Ara+2, Ara-1, Ara-3, Ara-6	10.28	0.05	0.09
Ara+2, Ara-1, Ara-4, Ara-5	16.76	0.06	0.09
Ara+2, Ara-1, Ara-4, Ara-6	14.30	0.04	0.08
Ara+2, Ara-1, Ara-5, Ara-6	9.08	0.05	0.08
Ara+2, Ara-2, Ara-3, Ara-4	13.04	0.10	0.11
Ara+2, Ara-2, Ara-3, Ara-5	9.18	0.11	0.12
Ara+2, Ara-2, Ara-3, Ara-6	9.38	0.07	0.09
Ara+2, Ara-2, Ara-4, Ara-5	15.92	0.08	0.10
Ara+2, Ara-2, Ara-4, Ara-6	13.48	0.06	0.09
Ara+2, Ara-2, Ara-5, Ara-6	9.04	0.06	0.09
Ara+2, Ara-3, Ara-4, Ara-5	10.65	0.07	0.10
Ara+2, Ara-3, Ara-4, Ara-6	10.89	0.05	0.08
Ara+2, Ara-3, Ara-5, Ara-6	7.97	0.05	0.09
Ara+2, Ara-4, Ara-5, Ara-6	11.05	0.04	0.08
Ara+3, Ara+4, Ara+5, Ara-1	9.63	0.06	0.09
Ara+3, Ara+4, Ara+5, Ara-2	8.20	0.09	0.10
Ara+3, Ara+4, Ara+5, Ara-3	8.86	0.08	0.11
